net,length_um
_0336_,8.88
_0662_,8.88
_0171_,8.86
data_in[1],8.84
_0689_,8.82
_0187_,8.815
_0705_,8.8
_0130_,8.78
_0491_,8.78
_0079_,8.76
round_mode,8.72
scale[6],8.72
_0300_,8.7
_0545_,8.7
_0078_,8.68
_0163_,8.68
_0438_,8.655
_0154_,8.62
_0157_,8.58
_0396_,8.58
_0525_,8.58
_0563_,8.58
_0648_,8.575
_0281_,8.49
_0140_,8.48
_0529_,8.48
_0562_,8.48
_0453_,8.46
_0164_,8.44
_0186_,8.44
_0330_,8.44
_0331_,8.44
_0261_,8.36
_0367_,8.36
_0167_,8.32
_0428_,8.32
_0460_,8.32
_0055_,8.24
_0115_,8.22
_0502_,8.22
_0587_,8.2
_0282_,8.15
_0249_,8.12
_0602_,8.12
_0775_,8.12
_0464_,8.11
_0208_,8.1
_0537_,8.1
_0613_,8.1
_0669_,8.1
_0759_,8.1
_0449_,8.08
_0049_,8.02
_0155_,8.02
_0229_,8.02
_0616_,8
_0696_,7.98
_0080_,7.9
_0082_,7.88
_0565_,7.88
_0805_,7.84
_0506_,7.82
_0389_,7.78
_0681_,7.78
_0221_,7.74
_0581_,7.7
_0549_,7.68
_0090_,7.66
_0011_,7.64
_0268_,7.64
_0800_,7.62
_0627_,7.6
data_out[3],7.58
overflow,7.58
_0420_,7.52
_0101_,7.5
_0658_,7.5
_0499_,7.48
_0350_,7.44
_0796_,7.42
_0052_,7.4
_0598_,7.4
_0629_,7.34
_0757_,7.34
_0302_,7.32
_0349_,7.32
_0361_,7.32
_0488_,7.32
_0530_,7.32
_0723_,7.32
_0773_,7.32
_0583_,7.25
_0183_,7.22
_0415_,7.22
_0033_,7.18
_0615_,7.18
net42,7.18
_0527_,7.16
_0264_,7.1
_0808_,7.1
_0028_,7.08
_0027_,7.06
_0244_,7.06
_0397_,7
_0064_,6.98
_0328_,6.98
_0693_,6.98
_0584_,6.95
_0003_,6.94
_0442_,6.94
_0601_,6.94
_0634_,6.88
_0676_,6.86
_0493_,6.84
_0219_,6.82
_0786_,6.76
_0335_,6.74
_0790_,6.72
net38,6.72
_0582_,6.64
_0623_,6.64
_0147_,6.6
_0269_,6.6
_0498_,6.6
_0474_,6.54
_0672_,6.54
net41,6.525
_0215_,6.52
_0476_,6.52
_0546_,6.52
_0577_,6.52
_0679_,6.52
_0746_,6.52
_0165_,6.5
_0538_,6.5
_0664_,6.48
_0758_,6.48
_0425_,6.4
_0776_,6.4
_0393_,6.38
data_in[5],6.31
_0635_,6.3
_0224_,6.28
_0342_,6.28
_0509_,6.28
_0520_,6.28
_0586_,6.28
_0612_,6.275
_0174_,6.26
_0486_,6.26
_0779_,6.26
_0806_,6.2
_0063_,6.18
_0362_,6.18
_0426_,6.18
_0014_,6.14
_0110_,6.14
_0411_,6.11
data_in[3],6.09
scale[0],6.09
_0259_,6.08
_0339_,6.08
_0338_,6.06
_0481_,6.06
_0241_,6.04
_0250_,6.02
_0124_,5.98
data_in[2],5.97
data_in[9],5.97
_0036_,5.96
_0761_,5.96
_0034_,5.94
_0142_,5.94
_0383_,5.94
_0394_,5.94
_0526_,5.94
_0341_,5.84
_0395_,5.84
_0793_,5.84
_0680_,5.83
_0320_,5.82
_0042_,5.8
_0542_,5.8
_0809_,5.8
_0006_,5.72
_0272_,5.72
_0337_,5.72
_0781_,5.72
_0710_,5.7
_0479_,5.68
data_in[6],5.63
data_out[2],5.63
_0745_,5.62
_0777_,5.62
_0382_,5.6
_0451_,5.6
_0220_,5.58
_0561_,5.52
_0001_,5.5
_0673_,5.5
_0767_,5.5
_0276_,5.48
_0651_,5.475
_0422_,5.46
rst_n,5.41
scale[2],5.41
_0050_,5.38
_0260_,5.38
_0369_,5.38
_0571_,5.36
_0158_,5.34
_0480_,5.34
_0711_,5.34
_0798_,5.34
data_in[0],5.29
_0068_,5.28
_0085_,5.26
_0324_,5.26
_0816_,5.26
_0175_,5.24
_0625_,5.16
_0081_,5.14
_0298_,5.14
_0568_,5.14
_0570_,5.14
data_out[4],5.07
valid_out,5.07
_0443_,5.06
_0403_,5.02
_0056_,4.995
data_in[10],4.95
_0637_,4.92
_0714_,4.92
_0739_,4.92
_0018_,4.88
_0353_,4.88
_0717_,4.88
_0086_,4.82
_0783_,4.82
_0812_,4.82
_0066_,4.8
_0310_,4.8
_0516_,4.8
_0597_,4.8
_0788_,4.8
_0564_,4.78
data_in[8],4.73
_0817_,4.72
_0405_,4.62
_0159_,4.57
_0721_,4.56
_0683_,4.555
_0004_,4.54
_0172_,4.46
_0191_,4.46
_0373_,4.46
_0137_,4.42
_0558_,4.42
data_out[7],4.39
_0628_,4.36
_0069_,4.34
_0096_,4.34
_0448_,4.34
_0663_,4.34
_0810_,4.34
_0292_,4.28
scale[7],4.27
_0041_,4.22
_0604_,4.12
_0749_,4.1
_0005_,4
_0008_,4
_0015_,4
_0470_,4
_0619_,4
_0540_,3.9
_0116_,3.88
_0299_,3.88
_0719_,3.86
_0596_,3.56
_0559_,3.54
_0608_,3.54
_0626_,3.54
_0278_,3.44
_0305_,3.42
_0521_,3.42
_0013_,3.3
_0057_,3.295
_0764_,3.22
_0452_,3.18
_0801_,3.1
_0002_,3.08
_0194_,3.08
_0384_,3.08
_0687_,3.08
_0780_,3.08
_0797_,3.08
_0585_,3.075
_0600_,3.06
_0351_,3.01
_0059_,2.98
_0040_,2.96
_0266_,2.96
_0665_,2.96
_0667_,2.96
_0795_,2.96
net44,2.76
_0051_,2.64
_0706_,2.64
_0047_,2.62
_0312_,2.62
_0740_,2.62
_0785_,2.62
_0815_,2.52
_0123_,2.5
_0360_,2.5
_0430_,2.5
_0694_,2.5
_0697_,2.5
net40,2.5
_0311_,2.4
_0054_,2.3
_0075_,2.3
_0532_,2.3
_0000_,2.18
_0091_,2.18
_0138_,2.18
_0226_,2.18
_0007_,2.16
_0022_,2.16
_0168_,2.16
_0363_,2.16
_0659_,2.16
_0685_,2.16
_0692_,2.16
_0700_,2.16
_0784_,2.16
_0778_,2.06
_0787_,2.06
_0799_,2.06
_0431_,2.04
_0487_,2.04
_0555_,2.04
_0574_,2.04
_0682_,2.04
_0738_,2.04
_0794_,1.84
_0074_,1.72
_0377_,1.72
_0647_,1.72
_0343_,1.7
_0357_,1.7
_0507_,1.7
_0618_,1.7
_0762_,1.7
_0782_,1.6
_0802_,1.48
_0039_,1.38
_0280_,1.14
_0803_,1.14
_0729_,0.92
