net,length_um
_36807_,589.11
_09082_,589.055
_36980_,588.76
_36757_,588.69
_19195_,588.505
_20935_,588.34
_35128_,588.21
_36570_,587.925
_36249_,587.52
_38967_,587.12
_35835_,587.05
_36508_,586.82
_36449_,586.78
_36002_,586.77
_35685_,586.65
_22148_,586.425
_18224_,586.41
_08909_,586.325
_28782_,584.395
_36808_,583.95
_22190_,583.74
_20995_,583.73
_10131_,583.56
_36409_,583.55
_18226_,583
_36731_,582.86
net166,582.2
_36349_,582.05
net330,582.03
_39942_,581.88
_37159_,581.8
net23,581.71
_39185_,581.7
net253,581.69
_11505_,581.62
_36247_,580.56
net142,580.36
_19102_,580.355
_11978_,580.1
_17921_,580.095
_19148_,579.96
_08319_,579.73
_20443_,579.44
_23485_,579.255
net227,578.9
_14782_,578.86
_19224_,578.62
_09902_,577.38
_36039_,576.605
_19339_,576.5
_09982_,576.475
_36428_,576.04
_36414_,575.13
_36643_,574.55
_37920_,574.48
_08210_,574.33
_11616_,574.06
_37447_,573.8
clknet_3_7_0_clk,573.43
_09959_,573.13
_19844_,571.585
_38916_,571.41
_09868_,571.1
_08214_,570.18
_11865_,569.72
_36996_,569.25
_12244_,569.075
_11785_,568.81
_37753_,568.54
_37249_,568.38
_20934_,568.31
_36055_,567.895
_27305_,567.76
_18913_,567.66
_36984_,567.21
_10619_,567.15
_19341_,567.03
_36450_,566.215
_34167_,566.08
_36772_,565.99
_40161_,565.86
_08169_,565.76
_10181_,565.32
_08168_,564.91
_39943_,564.79
_34687_,564.735
_19340_,564.72
_36974_,564.45
_18151_,564.19
_10772_,563.89
_36010_,563.775
_35911_,563.77
_36636_,563.6
_36178_,563.4
_18924_,563.07
_18220_,562.91
_07532_,562.69
_35828_,562.42
_36306_,561.73
_16632_,561.63
_11766_,561.52
_36504_,561.055
_36945_,560.78
_37250_,560.35
_11270_,560.1
_38998_,559.32
_22364_,558.965
_36621_,558.91
_37666_,558.88
_36081_,558.33
_39142_,557.08
_36284_,556.95
_11284_,556.69
_08217_,556.19
u_softmax.weights_flat\[20\],556.08
_36609_,555.68
_14785_,555.585
_36132_,555.58
_36538_,555.165
_37177_,555.16
_11398_,554.01
net100,553.82
_36153_,553.5
_11494_,552.86
_08355_,552.64
_11093_,552.59
_08903_,552.53
_39257_,552.36
_00000_,552.04
_18826_,550.87
_38435_,550.5
net169,550.31
_39277_,550.22
_36305_,549.88
net128,549.74
_36719_,549.68
_08181_,548.915
_38590_,548.07
_23899_,547.92
_37399_,547.835
_36317_,547.45
_11504_,547.06
_23309_,546.97
net788,546.815
_08190_,546.45
_35989_,546.32
_36597_,544.82
net255,544.78
_08183_,544.63
net213,544.44
_36199_,544.3
_11392_,544.24
_08918_,544.01
_09995_,543.96
_39036_,543.86
net44,543.7
_17906_,543.64
_35924_,543.33
_36300_,543.095
_38947_,543.05
_18950_,542.81
_36089_,542.79
_09961_,541.82
_36033_,540.71
net791,540.47
_35124_,540.14
_36028_,540.09
_18305_,539.79
_19343_,539.24
net286,538.95
_35117_,538.74
_37036_,538.04
net223,538
_10611_,537.99
_36107_,536.9
_36667_,536.83
_14675_,536.795
_09094_,536.035
_19223_,535.59
_28780_,535.16
net151,534.68
net64,534.63
u_softmax.weights_flat\[21\],533.98
_14754_,533.85
_36171_,533.81
net188,533.48
_08199_,533.21
net232,532.94
net95,532.08
_28781_,532.03
_39143_,531.81
_36334_,531.34
_35931_,531.295
_39610_,531.265
_35910_,531.17
_36846_,530.53
_17780_,530.48
_40150_,530.14
_11111_,529.58
net260,529.58
_17896_,529.395
_36072_,529.1
_36152_,529.1
_37096_,528.405
_25108_,526.985
_36025_,526.82
_37067_,526.47
net157,525.68
_19205_,525.58
_17902_,525.41
_16155_,525.29
_11387_,524.29
_36578_,524.21
_35888_,524.2
_38625_,524.06
_19292_,524.035
_15998_,523.75
net186,523.74
_17900_,523.63
_11512_,523.23
_07554_,523
_10095_,522.435
_38010_,521.46
_36299_,520.66
_14588_,520.54
_36937_,520.42
_36713_,519.955
_35865_,519.75
_19150_,519.58
_11705_,519.575
_38433_,519.4
_38968_,519.32
net244,519.2
_36985_,518.89
_36654_,518.82
_17807_,518.42
_38931_,518.35
_11322_,516.975
net237,516.88
_10790_,516.78
_38878_,516.49
_09038_,516.42
net172,516
_36693_,515.24
_11510_,515.16
_08215_,513.78
_36211_,513.57
_36853_,513.285
_09894_,513.075
_14590_,513.07
_36403_,512.77
_21949_,512.745
_10369_,512.7
_14673_,512.36
_36491_,512.33
_19105_,511.74
_36275_,510.945
_37412_,510.88
_23447_,510.735
_39023_,510.665
_17979_,510.6
_07542_,510.095
_36130_,509.16
_19172_,509.035
_36221_,507.86
_17894_,507.34
_36441_,507.07
_40163_,507.05
_39170_,506.55
_14589_,506.4
_35256_,506.07
_39731_,505.86
_07547_,505.27
_36579_,504.57
_36592_,503.95
net327,502.82
_36232_,502.33
_11541_,502.13
_09876_,501.94
_34391_,501.605
_36527_,500.75
_32686_,498.7
_09924_,498.655
net277,498.54
_12739_,498.41
_14646_,498.3
net287,497.9
_37740_,497.77
_11652_,497.745
_17932_,497.735
_39152_,497.61
_19290_,497.005
_36642_,495.81
_18468_,494.68
_11274_,494.62
_14786_,494.5
_16943_,494.5
_14723_,494.455
_19294_,494.38
_36601_,493.99
_17909_,493.74
_37401_,493.66
_36313_,493.64
_36496_,493.43
_36008_,493.3
_36345_,493.18
_37891_,492.545
_36259_,492.44
_10761_,492.295
_35998_,492.28
_37542_,492.14
_35930_,491.855
_19265_,491.3
